ID	howmany_MW	howmany_QW	howmany_SW	freq_MW	freq_QW	freq_SW	type_personality	classy_MW	classy_QW	classy_SW	status_MW	status_QW	status_SW	soph_MW	soph_QW	soph_SW	evergr_MW	evergr_QW	evergr_SW	desire_MW	desire_QW	desire_SW	fun_MW	fun_QW	fun_SW	superf_MW	superf_QW	superf_SW	gratif_MW	gratif_QW	gratif_SW	exc_MW	exc_QW	exc_SW	trendy_MW	trendy_QW	trendy_SW	sporty_MW	sporty_QW	sporty_SW	imp_design_MW	imp_design_QW	imp_design_SW	imp_reliab_MW	imp_reliab_QW	imp_reliab_SW	imp_funct_MW	imp_funct_QW	imp_funct_SW	imp_read_MW	imp_read_QW	imp_read_SW	imp_imperm_MW	imp_imperm_QW	imp_imperm_SW	imp_brand_MW	imp_brand_QW	imp_brand_SW	imp_mater_MW	imp_mater_QW	imp_mater_SW	imp_price_MW	imp_price_QW	imp_price_SW	type_job	type_freetime	type_sport	type_holidays	type_formal	sport	outdoor	reading	TV	internet	social	content_digita	relax	museums	cooking	videogames	hobbies	convivials	MW_gift	MW_bought	MW_inherit	QW_gift	QW_bought	QW_inherit	SW_gift	SW_bought	SW_inherit	large_city	car_moto	foot	bike	public transport	Year_born	Job	Gender	Education	Income	willtobuy_MW	willtobuy_QW	willtobuy_SW
1	2	2	2																																																																																																					
2	1	1	0	80	20	0	0	5	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	5			1	1		7	7		7	7		1	1		5	5		4	4		0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1		1			1					0				1	1963	3	1	3	2	1	0	0
3	2	1	0		100		1	7	5	2	7	2	7	3	6	7	7	2	1	1	6	5	1	4	5	7	1	7	2	4	5	1	3	4	2	1	6	1	7	1	7	5	2	2	7	4	2	7	7	2	6	7	1	7	4	6	3	3	7	3	2	5	5	5	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1		1		1					0	1		1		1954	3	1	3	2	0	1	1
4	2	0	0	100	0	0	0	7	1	4	1	1	5	1	1	7	7	1	1	1	1	5	1	1	7	1	4	7	1	1	7	1	1	7	1	1	7	5	5	5	7	1	7	7	7	7	1	1	7	7	7	7	7	7	7	1	1	1	7	7	7	4	4	4	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	2									0	1	1			1967	3	0	3	1	0	0	0
5	2	0	0	100	0	0	0																																																																																																	
6	0	0	1																																																																																																					
7	1	2	2	0	30	70	1		5		4				3			4				6			6		1			3				1			7			7	2	3	6	6	6	6	5	6	6	3	5	7	2	3	7	3	5	7	5	5	7	3	4	4	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	0	0	1			8		10		10			0		1	1		1960	5	0	1	2	0	1	1
8	2	3	0	30	70		0	7	1		7	1	6	3	3	7	5	4	3	7	1		3	5	6	1	3	7	7	1	3	7	3	4	4	2	6	5	7		7	7	7	6	7	7	3	7	7	7	7	7	7	7	7	6	5	7	7	7	5	5	4	7	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1		3						0	1				1960	3	1	1	1	1	0	0
9	0	0	1	0	0	100	2																																																																																																	
10	2	2	0	20	80	0	1	6	5	7	5	6	7	6	4	7	4	4	7	5	5	7	5	3	7	6	5	7	6	5	7	6	5	7	7	6	7	6	7	7	6	6	7	7	6	7	1	6	7	5	7	7	5	7	7	5	6	7	5	5	7	6	5	6	1	0	1	1	0	0	0	0	1	1	0	1	1	1	1	0	1	1	6				6					0	1			1	1992	3	0	1	0	1	1	0
11	0	0	1																																																																																																					
12	1	0	1	80	0	20	0	6	5	2	6	4	7	6	6	3	7	4	2	4	3	7	2	2	7	4	3	2	6	2	7	6	2	7	6	3	7	6	3	7	7	2	7	5	2	7	1	2	7	6	2	7	4	2	7	4	2	7	6	2	7	6	4	6	0	2	2	3	3	0	0	1	0	1	1	1	1	1	1	0	1	1	4	1					1			2				1	1990	1	0	2	3	1	0	1
13	0	2	0		100		1	7	5	2	7	5	5	7	5	4	7	7	5	7	5	2	2	4	5	5	2	5	7	5	5	7	4	4	5	6	6	2	7	6	7	5	5	7	5	5	2	4	7	5	6	7	2	7	7	7	6	4	7	7	5	2	5	5	1	1	3	3	1	1	1	0	0	1	0	1	0	0	0	0	0	1				2						0	1	1			1987	3	1	1	2	0	0	0
14	1	1	0	50	50	0	0	7	7	2	7	7	4	7	4	1	6	5	1	7	5	7	2	4	6	1	1	5	7	7	3	7	7	4	7	5	5	1	1	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6				0	0	3	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2				2				1	1994	1	0	2	0	1	1	1
15	0	2	0		100		1																																																																																																	
16	1	2	0	100	0	0	0	5	7	1	5	7	7	5	7	6	7	7	4	5	7	6	5	5	7	1	1	5	4	7	5	3	7	7	7	6	7	7	3	2	7	7	7	7	7	7	5	3	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	0	1		1				2				2		1		1	1994	1	0	1	4	1	1	0
17	0	0	0	100	0	0	0	7	6	2	4	3	5	7	5	6	4	6	4	4	4	6	3	6	4	6	6	3	7	6	4	3	6	2	5	5	6	3	4	4	4	5	6	6	5	6	4	6	3	3	3	5	3	4	5	6	4	3	4	3	2	6	5	6	0	0	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	7	5	5	7	5	4	7	6	1	1	1	1	1	1993	0	0	0	0	1	0	1
18	2	1	2																																																																																																					
19	1	6	0	20	80	0	1	4	7	2	3	7	7	3	7	3	2	7	2	5	7	5	3	3	6	1	1	3	2	7	2	2	6	2	4	7	6	5	1	7	4	7	4	6	6	6	3	2	6	6	5	6	7	4	7	3	5	5	4	6	6	3	5	5	0	1	3	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1		1		3	1	2				2				1	1994	1	0	2	4	0	1	0
20	0	1	0		100		1	2	6	3	4	7	3	5	3	5	3	2	5	4	4	3	5	3	7	4	2	7	4	3	4	4	4	4	3	5	4	1	1	7	3	4	3	2	3	2	3	3	7	5	3	4	3	4	5	4	4	5	4	4	4	3	4	4	1	3	3	1	1	1	1	0	0	1	1	1	1	0	0	0	0	1				2						0	1				1991	1	1	2	0	0	0	0
21	0	2	1	0	100	0	1		6	2		2	4		6	2		3	1		7	3		1	1		4	4		2	1		1	1		4	2		1	6		7	5		7	7		3	7		7	7		6	6		4	4		7	7		7	7	1	3	2	3	1	0	1	1	1	1	1	1	1	0	1	0	1	1				2			1			0	1				1992	3	0	2	1	0	0	0
22	3	0	1				0	2	5	4	3	5	7	3	6	4	1	1	1	3	5	7	1	1	6	3	2	1	3	2	7	2	2	4	1	2	7	4	1	7	4	5	2	4	4	6	3	2	7	5	5	7	4	3	2	4	4	6	6	6	3	4	6	7	2	0	2	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	3	1		1			1			2	1				1992	3	0	2	0	1	0	1
23	0	3	1	0	99	1	1	7	7	1	7	1	1	7	7	1	4	1	1	6	7	7	1	1	6	1	1	7	1	7	6	1	7	7	1	1	1	1	1	1	7	7	7	7	7	4	2	2	4	2	7	4	2	4	7	4	4	7	7	7	7	7	7	7	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	0	1	1			1	3	1		1			0	1	1			1959	3	0	1	1	0	0	0
24	1	1	0		100		1	4	3		1	1		1	1		1	1		1	1		5	1		2	1		1	1		1	1		1	1		1	5		2	4		4	4		1	6		5	5		1	5		5	5		5	5		5	2		1	1	3	3	1	1	1	1	0	1	0	0	1	0	0	0	1	1		1			1					0	1				1960	5	0	4	2	0	1	0
25	1	1	1	5	10	85	2	5	5	4	1	1	1	1	1	1	1	1	1	3	3	6	1	1	7	2	1	1	1	1	1	1	1	1	1	1	1	1	5	7	4	4	4	6	6	7	1	5	7	4	4	6	1	2	7	4	4	6	3	3	5	7	7	7	2	2	2	2	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1			1			1			0	1				1955	5	0	4	2	0	0	0
26	2	7	2	20	80	0	0	7	5	1	5	5	6	3	4	1	7	5	2	4	4	4	6	4	1	4	5	6	5	3	2	6	2	2	6	3	3	2	5	2																																																																
27	3	0	0	100			0																												4			6			7			7			3			6			3			3			5			7			0	3	3	3	3	1	1	1	1	1	1	1	1	1	1	0	0	1	2	1								0	1	1			1966	5	0	3	1	0	0	0
28	0	10	0	0	100	0	1	3	5	1	5	3	1	4	4	1	2	5	1	3	5	1	3	1	2	6	1	7	3	5	1	2	3	1	2	6	5	1	4	1																																																																
29	3	0	0	100	0	0	0	7	7	7	6	6	7	7	7	7	7	7	3	7	5	7	2	3	7	1	1	1	4	2	4	4	1	6	7	6	7	6	6	7	6	5	6	7	5	6	6	6	7	7	6	6	6	6	6	7	4	7	6	5	5	6	3	7	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	2		1							0	1	1	1	1	1973	3	1	1	2	1	0	1
30	1	0	0	100			0	7	2	2	7	1	7	4	4	7	7	5	1	7	3	1	4	4	4	1	1	7	7	4	1	6	4	1	7	3	7	6	7	7	7	5	2	7	5	5	5	7	7	7	7	7	7	7	5	4	4	7	7	4	3	7	5	1	0	0	0	0	0	1	1	1	0	1	1	1	0	1	1	0	1	1		1								0	1	1			1980	3	1	4	1	1	0	0
31	1	1	0	70	30	0	0	7	5	2	7	5	5	5	1	1	7	7	1																																																																																					
32	2	1	0	90	10		0	7	3		7	3		7	2		7	2		7	1		1	5		6	4		7	1		4	1		7	5		4	4		7	7		7	7		5	5		7	7		6	7		7	4		7	4		4	4		0	0	3	1	0	0	1	1	1	1	0	1	1	1	0	0	0	1	2			1	1					0	1				1962	3	0	3	1	0	0	0
33	2	1	0	100			0	5	1	1	7	1	1	7	1	1	7	1	5	7	1	6	1	1	6	2	7	7	5	1	5	1	1	1	5	1	6	5	1	4																																																																
34	4	0	1	80		20	0	6	4	3	5	5	6	7	3	3	7	7	2	7	6	5	4	5	7	4	4	4	6	5	6	6	5	3	7	2	7	3	7	7																									0	2	2	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	2	2						1		0		1			1983	3	0	4	1	1	0	1
35	1	3	0	10	90	0	1	6	4	4	6	4	5	6	4	6	6	5	4	5	5	6	5	6	6	3	3	2	5	5	6	6	5	6	5	5	5	3	6	7	5	5	5	5	6	5	4	6	6	5	5	5	3	5	4	4	4	4	6	6	6	5	5	4	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1			2	1					0	1				1982	2	0	4	2	0	1	1
36	2	13	0	10	90		1	7	5	1	3	3	7	5	3	6	7	7	1	5	7	5	5	4	6	3	1	7	4	4	4	4	4	4	5	4	6	3	6	3	7	7	6	7	7	6	5	5	6	5	5	7	2	3	2	4	4	4	5	6	5	6	6	5	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1		5	6	2				2				1	1974	5	0	3	1	1	1	0
37	0	3	1	0	2	98	2	6	6	6	7	7	6	3	3	5	6	6	1	6	6	6	1	1	5	4	4	4	4	4	4	4	4	4	2	2	5	1	1	7	7	7	7	7	7	7	1	5	7	6	6	6				7	7	7	5	5	5				2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1				1	1	1		1		2	1				1971	5	1	1	4	1	1	1
38	1	1	0	90	10	0	0	7	4	1	7	2	1	6	3	2	7	6	1	7	4	2	5	4	6	2	2	3	6	2	2	7	4	3	4	5	6	7	2	6	6	6	6	6	6	5	5	4	7	6	6	6	5	5	5	7	5	5	5	5	3	3	5	6	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1		1			1					0	1				1987	2	1	1	3	1	0	0
39	2	0	0	100	0	0	0	7			7			5	1	1	5	1	1	7			5	1	1			7	7			7			7			7			3			7			5			5			5			5			7			7			0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1								0	1				1947	4	1	3	2	1	0	0
40	25	5	1	90	9	1	0																																																																																																	
41	3	0	0	100	0	0	0	7			3			4			4			6			1			1			6			7			5			7			7			7			7			7			7			7			7						0	3	3	3	0	1	1	1	1	1	1	1	1	0	0	1	0	1		2	1							2	1	1			1999	1	1	4	3	1	0	0
42	2	0	1	95	0	5	0																																																																																																	
43	2	1	0	50	50		0	7	4	1	7	4	1	7	4	1	7	5	1	7	7		7	7	1	1	1	7	7	4	1	7	4	1	7	4	1	7	7	1	7	7	1	5	5	1	7	7	1	5	5	1	4	4	1	5	5	1	5	5	1	5	5	1	1	0	3	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1		1						0	1				1988	3	1	1	2	1	1	0
44	6	0	1	90		10	0	7	1	2	7	1	1	7	1	2	7	1	3	7	1	2	7	1	3	1	1	3	7	1	3	7	1	2	7	1	4	7	1	6																																																																
45	15	2	0	50	50	0	0																																																																																																	
46	2	30	0	50	50		0	7	4	1	6	2	5	5	2	2	7	1	1	7	2	3	3	4	5	2	2	7	6	2	2	6	2	2	4	3	5	4	6	3	7	6	5	5	7	5	3	5	5	3	4	5	3	5	5	6	2	5	5	2	4	5	1	4	0	0	3	3	0	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1		3	10					0	1				1981	3	1	3	3	1	0	1
47	4	0	0	100	0	0	0	7	1	1	7	1	1	7	1	1	7	1	1	7	1	1	7	1	1	1	7	7	7	1	1	7	1	1	7	1	1	7	1	1	7	1	1	7	1	1	7	1	1	7	1	1	7	1	1	7	1	1	7	1	1	6	1	1	0	0	3	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1		4								2	1				1970	2	1	1	2	1	0	0
48	4	0	0																																																																																																					
49	1	3	0	70	30		0	6	4	1	6	4	7	6	2	3	7	6	4	7	1	1	7	1	7	1	1	1	7	6	6	7	6	1	7	4	6	4	6	7	7	7	7	7	7	7	5	4	7	7	7	7	7	7	7	4	4	4	7	7	7	7	7	7	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1			2	1					0	1				1984	3	1	1	1	1	1	0
50	5	10	0	99	1	0	0	5	3	1	5	3	7	6	1	6	7	4	1	6	1	3	4	2	5	1	1	5	7	3	4	5	2	4	4	1	6	7	5	5	7	5	5	7	5	4	7	6	1	7	5	7	7	4	5	7	4	6	7	3	4	4	7	1	0	0	3	0	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	3		7	7					0	1				1983	3	1	1	1	1	0	0
51	3	2	0	70	30	0	0	7	3	1	5	3	5	5	5	5	5	5	2	3	4	5	4	5	6	4	3	3	6	4	1	6	4	1	3	3	4	2	6	3	6	6	3	4	5	6	1	3	5	3	3	5	3	6	5	6	5	4	3	3	2	5	5	5	0	1	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0		2	1		2					1	1				1975	2	1	3	4	1	0	0
52	6	0	0	100			0	6	5	2	7	2	4	3	3	6	7	2	1	7	2	5	1	1	2	7	7	7	7	1	2	7	1	3	5	1	6	2	2	3	7	7	7	5	5	5	5	5	7	6	5	5	5	5	5	7	1	1	7	1	1	7	7	7	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1		5	1							0	1				1978	2	1	1	3	1	0	0
53	4	0	0	100	0	0	0	7			4			5			5			6			2			1			5			5			1			5			5			7			5			5			5			5			7			4			0	0	0	0	0	1	1	1	1	1	0	0	1	0	1	0	1	0	2	2	1							2	1				70	2	1	2	1	1	0	0
54	10	1	0	99	1		0	7	1		7	1		5	7		5	1		6	1		1	6		7	7		7	4		7	4		1	5		5	7		7	7		7	7		1	1		5	5		7	7		6	1		7	7		5	7		0	0	3	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	3	6	1		1					2	1				1989	3	1	0	2	1	1	0
55	2	2	0	50	50		0																																																																																																	
56	48	7	0	90	10	0	0	7	2	1	7	2	1	7	2	1	3	2	1	7	2	1	2	5	3	2	2	7	7	5	2	7	3	1	3	2	5	5	7	1	7	7	1	7	7	1	5	7	1	3	7	1	3	7	1	7	7	1	5	7	1	5	7	1	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	3	10	1		7					2	1			1	1975	3	1	3	4	1	1	0
57	0	3	0	0	100	0	0	7			7			6			7	5		7				7	7			7	7			7					5	6		5	7	7	1	7	7	6	7	6	1																1	1	3	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1				3						1	1				1979	2	1	2	1	1	0	0
58	5	3	1	70	29	1	0	7	5	1	7	1	1	7	4	5	7	4	1	7	6	6	7	6	6	4	1	7	7	5	1	7	5	1	7	5	1	7	7	3	7	7	7	6	7	6	7	7	7	7	7	7	5	7	5	7	6	6	7	7	1	7	4	1	1	0	2	0	0	1	1	1	1	1	0	1	1	0	1	0	1	1		5		1	3		1			1	1				1978	5	1	1	1	1	0	0
59	13	1	0	35	65		0	7	5	3	5	2	6	7	2	1	7	4	1	7	4	4	7	7	7	7	1	4	7	3	4	7	4	4	5	4	7	5	7	4	6	7	7	5	7	7	3	2	7	5	5	6	4	7	5	6	6	7	5	7	4	5	4	4	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	3	10		1						0	1				1977	3	1	3	3	1	1	0
60	5	11	0	60	40	0	0																																																																																																	
61	5	5	0	80	20		0	5	1		4	2		4	3		7	2		7	2		3	5		2	2		6	2		6	2		1	1		3	6		5	5		5	5		5	5		5	6		5	6		4	3		5	5		3	5		0	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	3	7		1	9																	
62	4	3	0	95	5	0	0	6	4	1	5	2	1	5	2	4	6	3	1	6	4																				5			5			5						3			5			5			5			0	0	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1		7		5						0	1				1978	2	1	2	2	1	0	0
63	3	3	0	90	10	0	0	6	3	1	7	4	5	5	1	5	5	3	1	6	2	5	5	4	6	1	2	5	6	3	4	7	2	2	6	2	7	5	4	4	5	5		5	7		6	2		5	5		6	6		7	1		4	1		4	7		0	0	3	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	2		1	1	1				1	1				1974	2	1	3	1	1	0	0
64	1	1	0	50	50		0	7	4	1	7	4	3	7	4	1	7	4	1	7	4	1	5	5	5	6	4	7	7	4	1	7	4	1	4	4	4	4	4	4																																																																
65	6	0	0	100	0	0	0	4	4	1	7	1	7	4	1	7	5	5	5	4	4	7	1	1	7	1	1	7	7	4	7	6	4	7	4	5	7	4	4	5	7	7	7	7	4	4	4	4	4	7	7	6	7	5	7	7	4	7	7	4	3	7	4	7	0	0	3	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	5								2	1				1970	2	1	2	4	1	0	0
66	7	2	0	98	2		0																																																																																																	
67	20	0	1	98		2	0	5	1	1	4	1	1	5	1	1	4	1	1	4	1	2	1	6	3	1	5	1	5	1	1	6	1	1	1	6	1	1	4	7	6	2	2	6	4	6	4	4	7	6	3	6	3	3	6	4	1	1	4	1	3	4	1	5	0	0	2	2	0	1	1	1	1	1	1	1	1	0	0	0	1	1		10	1					1		1	1				1966	2	1	3	4	1	0	0
68	2	8	0	100	0	0	0	7	5	1	7	2	4	7	3	3	7	4	3	7	3	5	7	4	7	7	7	7	7	4	3	7	5	5	7	4	3	7	7	7																																																																
69	4	8	0	70	30	0	0	6	4	2	6	3	5	7	3	5	5	5	1	7	3	3	5	4	6	3	2	7	7	5	3	7	5	3	4	5	7	4	7	5	7	7	5	7	7	5	4	4	7	5	5	7	6	6	4	5	5	5	5	4	4	5	6	4	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	4					1	1	1			1985	3	1	4	2	1	1	0
70	0	1	0	0	100		0	6	6	4	2	1	4	4	2	2	6	5	2	3	1	2	2	3	1	4	4	7	6	3	2	6	2	1	4	2	3	4	6	2	6	6	6	7	7	7	1	2	3	6	6	7	6	6	6	3	2	6	5	5	6	6	6	6	1	1	1	1	3	1	1	1	0	1	0	0	1	0	1	0	1	1				1	1					0	1	1		1	1992	1	1	2	0	1	1	0
71	4	3	1	60	10	30	0	6	5	5	3	1	5	3	3	5	5	2	2	5	1	5	4	1	5	1	1	5	5	1	4	5	2	4	2	1	4	6	4		7	7	7	7	7	7	5	1	5	7	6	7	7	6	6	6	1	6	7	7	7	7	7	7	0	2	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0		4			3		1			0	1				1961	3	1	2		1	0	0
72	4	5	2	60	20	20	0	7	6	5	7	4	5	6	3	3	6	6	1	7	4	6	4	5	7	4	5	6	7	4	6	7	5	4	3	3	5	6	5	7	7	7	7	6	4	6	5	4	7	6	6	6	6	4	4	6	6	7	7	4	4	5	7	6	0	0	2	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	3		3	3			2		0	1				1985	3	1	1	2	1	0	0
73	11	0	0	100			0	6	2	1	5	1	5	5	1	2	7	1	1	7	1	3	1	2	3	1	4	7	7	2	3	7	2	3	1	1	4	3	3	4	7	7	5	7	7	7	4	4	5	6	6	6	4	6	6	6	3	6	5	5	3	5	5	6	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1		10								0	1				1968	2	1	1		1	0	0
74	2	15	1	10	80	10	1	4	4	1	6	2	4	5	3	1	7	7	1	3	5	1	4	4	7	2	1	7	3	5	1	6	6	1	2	2	4	1	7	3	4	4	1	7	7	7	1	5	7	7	7	7	3	7	3	3	4	2	3	3	3	4	5	7	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1		1	5	5		1			0	1	1			1983	3	1	3	3	1	1	0
75	6	5	1	80	10	10	0	7	2	3	7	1	3	6	1	3	7	3	1	7	3	4	3	4	7	3	3	3	7	3	4	7	3	4	6	4	5	6	7	6	7	6	6	7	5	6	5	2	7	6	4	7	5	6	4	7	2	5	5	1	1	7	4	4	0	0	2	0	0	1	1	1	0	0	1	1	1	1	0	0	0	1	1	4	1	3	2			1		2	1				1979	3	1	4	4	1	0	0
76	3	3	0	95	5		0	7	2	4	7	1	4	7	4	4	6	2	1	7	4	3	4	4	4	7	4	2	7	4	2	7	3	3	4	4	5	5	7	4	7	4	5	7	5	2	4	7	5	7	2	7	6	5	3	7	4	7	7	4	4	7	4	4	0	0	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0		2	1		3					2				1	1979	3	1	2	1	1	0	0
77	6	2	0	100	0	0	0																																																																																																	
78	8	3	0	90	10	0	0	6	6	2	7	3	1	7	4	7	7	6	2	7	2	2	1	1	6	7	7	7	7	2	1	7	2	1	2	2	7	4	7	4	5	7	7	7	4	3	4	2	2	6	6	5	3	5	7	5	5	5	6	6	3	5	3	3	0	0	3	0	0	0	1	1	0	1	1	1	1	0	1	1	1	1	3		4	2	1					0	1	1	1		77	2	1	1	0	1	0	0
79	2	1	0	100	0	0	0	7	4	1	7	1	7	7	2	3	7	3	1	7	2	1	4	2	1	1	1	7	7	3	1	7	3	1	1	1	7	4	4	7	5	7	7	6	6	1	6	6	1	2	2	1	4	4	1	3	5	1	4	4	3	5	5	2	0	0	3	0	0	1	1	0	1	1	1	1	1	1	0	1	0	1		1	1	1						2	1				1999	1	1	0		1	0	0
80	15	1	0	98	2	0	0																																																																																																	
81	3	1	0	100	0	0	0	7	5	1	5	3	4	7	1	4	4	6	1	7	1	4	4	4	6		6	5	7	1	1	7	1	1	4	3	6	5	4	3	7	3	3	5	4	5	5	3	7	7	5	7	7	3	7	7	2	4	6	2	5	6	7	7	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	2			1					0	1				1977	3	1	4	2	1	0	0
82	2	1	0	90	10	0	0																																																																																																	
83	1	1	0	90	10	0	0	6	6		7	3		6	3		7	3		7	4		6	3		2	2		7	5		7	5		5	5		6	2		7	6		7	5		1	3		6	4		7	4		7	5		7	6		1	1		0	0	3	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1		1			1					1	1				1985	2	1	3	2	1	0	0
84	2	0	0	100			0	7	4	1	5	1	7	7	1	1	7	7	4	7	1	1	1	1	4	7	7	7	7	1	1	7	4	2	3	3	7	7	7	7	7	5	7	7	4	6	5	1	7	5	5	5	4	4	4	1	1	1	7	7	3	4	4	4	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1		2								0	1				1980	2	1	3	2	1	0	0
85	7	3	0	90	10	0	0																																																																																																	
86	6	4	0	90	10	0	0	7	4	1	7	1	1	7	2	1	7	7	1	7	2	1	1	1	1	6	5	6	7	3	1	7	3	2	7	6	5	7	7	4	7	7	5	5	7	5	5	5	5	6	6	7	6	6	4	7	3	1	7	4	4	1	4	3	0	0	3	0	0	1	1	1	0	1	1	1	1	1	0	0	0	1	10			10			1			0	1	1			1986	2	1	3	0	1	0	0
87	11	2	0																																																																																																					
88	16	0	0	100			0																																																																																																	
89	5	0	0																																																																																																					
90	6	2	0	90	10	0	0	7	2	1	6	1	1	6	2	1	5	4	1	6	3	1	4	4	2	2	4	5	6	2	1	6	2	1	3	3	3	5	6	6	6	3	1	6	5	1	5	4	1	6	5	2	6	6	3	6	5	2	5	4	2	5	6	2	0	1	2	0	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	5		2						1	1	1			1975	5	1	3	2	1	1	0
91	6	2	1	80	10	10	0	7	4	2	7	2	7	7	3	6	7	5	2	7	4	5	4	3	5	3	5	2	7	2	4	7	2	4	7	2	6	7	5	7	6	4	7	7	7	4	6	2	7	7	7	7	7	2	3	7	7	7	7	7	7	3	5	4	0	0	2	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	5			2			1		1	1			1	1977	3	1	3	4	1	1	0
92	8	2	1	70	10	20	0	7	1	1	6	1	4	7	2	6	7	5	1	7	2	4	2	2	7	1	3	7	7	3	3	7	1	1	2	1	7	4	7	7	7	4	7	7	7	7	7	2	7	7	7	7	7	7	2	7	3	7	7	4	4	7	3	4	0	2	2	2	0	1	1	1	1	1	1	0	0	0	0	0	0	1		10			4			1		1	1				1973	2	1	1	3	1	0	0
93	2	0	1	80	0	20	0																																																																																																	
94	12	1	0	98	2	0	0	7	1	1	7	1	5	6	1	1	5	1	1	7	1	1	2	5	7	7	1	1	7	1	5	7	1	4	4	1	7	5	6	5	6	1	7	5	7	6	6	5	7	2	7	7	3	7	2	5	1	1	6	5	1	6	5	5	0	0	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	1	2	8	2		1					2	1	1			1978	2	1	3	3	0	0	0
95	4	4	0	70	30	0	0	6	4	1	6	4	4	6	4	6	5	6	1	7	4	4	2	5	7	1	1	1	7	5	3	7	3	3	4	4	6	4	7	5	7	7	5	7	5	7	3	7	7	4	6	6	6	6	7	6	3	1	6	5	1	6	5	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	2	2		1	3					2	1				1977	2	1	4	3	1	1	1
96	6	3	0	70	30		0	7	5	1	6	5	5	7	3	1	6	7	2	4	5	6	1	4	6	3	2	7	7	3	5	7	3	5	1	3	6	1	6	7	6	7	6	5	7	7	7	5	7	5	5	7	1	2	7	5	2	7	7	7	7	7	2	7	0	1	1	3	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	4	1	2					0	1				1993	1	1	1	0	1	1	0
97	1	1	0	70	30	0	0	7	3	2	4	1	4	5	1	4	4	7	1	7	3	1	1	1	1	7	7	4	7	6	3	7	2	2	2	2	5	4	7	5	6	7	6	6	7	4	6	3	7	3	5	7	2	7	1	1	2	4	4	4	4	6	7	6	0	0	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1			1		1					0	1	1	1		1995	1	1	2	0	1	1	0
