ID	howmany_MW	howmany_QW	howmany_SW	freq_MW	freq_QW	freq_SW	type_personality	classy_MW	classy_QW	classy_SW	status_MW	status_QW	status_SW	soph_MW	soph_QW	soph_SW	evergr_MW	evergr_QW	evergr_SW	desire_MW	desire_QW	desire_SW	fun_MW	fun_QW	fun_SW	superf_MW	superf_QW	superf_SW	gratif_MW	gratif_QW	gratif_SW	exc_MW	exc_QW	exc_SW	trendy_MW	trendy_QW	trendy_SW	sporty_MW	sporty_QW	sporty_SW	imp_design_MW	imp_design_QW	imp_design_SW	imp_reliab_MW	imp_reliab_QW	imp_reliab_SW	imp_funct_MW	imp_funct_QW	imp_funct_SW	imp_read_MW	imp_read_QW	imp_read_SW	imp_imperm_MW	imp_imperm_QW	imp_imperm_SW	imp_brand_MW	imp_brand_QW	imp_brand_SW	imp_mater_MW	imp_mater_QW	imp_mater_SW	imp_price_MW	imp_price_QW	imp_price_SW	type_job	type_freetime	type_sport	type_holidays	type_formal	sport	outdoor	reading	TV	internet	social	content_digita	relax	museums	cooking	videogames	hobbies	convivials	MW_gift	MW_bought	MW_inherit	QW_gift	QW_bought	QW_inherit	SW_gift	SW_bought	SW_inherit	large_city	car_moto	foot	bike	public transport	Year_born	Job	Gender	Education	Income	willtobuy_MW	willtobuy_QW	willtobuy_SW
151	2	4	0	90	10		0	7	4	3	7	3	5	5	5	6	7	3	1	7	4	5	1	3	7	2	3	4	6	5	3	7	4	3	1	5	1	5	4	7	3	4	7	7	6	3	5	2	1	4	5	2	5	4	4	5	4	5	4	3	4	6	5	4	1	0	3	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1		2		3	1					1	1				1990	3	1	2	2	1	0	0
152	3	11	0	75	25		0	7	5	3	7	4	3	7	6	6	7	6	4	7	5	5	7	6	6	1	1	5	7	5	4	7	5	2	7	5	5	7	6	4	7	6	3	7	7	4	7	5	4	7	7	5	7	5	4	7	5	4	7	4	3	7	4	3	0	0	1	1	0	1	1	1	0	1	0	1	1	1	0	0	1	1		2		4	7					0	1				1960	3	1	1	1	1	1	0
153	20	0	0	100	0	0	0																					7				7					7	7			7			7			4			7			7			3			7			4			0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	1	2	10	3							0	1	1			1972	2	1	1	1	1	0	0
154	5	2	0																																																																																																					
155	6	0	0	100	0	0	0	7	5	1	7	1	5	7	1	1	7	3	1	7	2	7	1	1	7	1	1	1	7	1	1	7	1	1	1	4	6	3	5	1	7	3	6	4	7	2	1	3	7	7	7	7	7	2	1	7	1	2	4	3	2	7	5	2	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1		4	2							0	1	1	1		1990	1	1	2		1	0	0
156	2	5	0	30	70	0	0	7	5	1	7	2	1	6	4	1	7	5	1	7	4	1	4	6	3	4	4	7	7	6	1	7	5	2	4	4	5	6	6	6	6	6	6	7	5	7	4	5	7	5	5	5	6	6	6	6	6	5	5	6	4	6	6	6	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1		2	3					2	1				1985	3	1	3	2	1	1	0
157	8	2	1	90	5	5	0	7	5	2	7	7	1	7	3	6	7	5	1	7	5	3	7	7	7	3	3	5	7	5	6	7	4	4	7	7	7	7	7	7	7	7	7	7	7	4	7	7	2	5	7	7	7	4	1	7	7	1	7	7	1	5	7	4	0	0	2	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	2	10	3		4			1		0	1				1991	2	1	1	1	1	1	0
158	12	2	0	90	10		0																																																																																																	
159	15	3	1	50	0	50	0	7	1	1	4	1	4	5	1	1	4	4	1	4	1	5	3	1	6	2	3	2	6	2	3	7	1	4	3	2	5	2	4	6	5	3	6	3	5	5	3	4	4	4	3	5	2	6	3	4	2	5	3	2	2	4	2	2	3	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1		9			2			1		1	1	1			1963	2	1	0	2	1	0	0
160	3	3	0	10	90		0	7	6	4	5	5	4	5	5	7	6	5	2	6	5	3	5	5	6	1	2	6	6	5	4	5	5	4	4	5	6	6	5	4	6	6	5	7	7	6	4	4	7	6	6	5	4	4	6	6	5	5	6	6	4	6	6	5	1	1	3	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1		1	2	2		1				0	1	1			1976	5	1	1	0	1	0	0
161	3	3	0	10	90		1	7	7	6	5	3	6	6	6	7	7	5	1	5	5	4	4	3	6	1	1	5	6	5	5	6	4	5	4	4	7	6	6	5	6	6	4	7	7	5	3	2	6	7	7	6	5	5	6	5	5	4	6	5	4	6	5	4	1	1	3	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1		1	2	2		1																
162	10	1	0	98	2	0	0	7	1	1	7	1	1	7	1	1																																								7									0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1										2				1	1990	2	1	3	0	1	0	0
163	20	6	0	95	5	0	0	7	3	1	7	3	3	7	1	5	7	4	1	7	1	5	5	5	6	7	7	7	7	1	1	7	1	1	7	3	7	4	7	7	4	2	7	5	7	7	3	5	7	5	7	7	1	7	7	5	3	7	7	2	3	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	2	10	3	3	2					2	1				1975	3	1	3	4	1	0	0
